pitcher_id,StartVsRelief,games_played
596064,Starter,4
596112,Starter,6
598264,Reliever,29
598287,Reliever,31
599998,Reliever,3
605135,Starter,25
605151,Starter,3
605164,Reliever,24
605177,Reliever,34
605200,Starter,12
605226,Reliever,12
605228,Starter,23
605232,Starter,19
605242,Starter,4
605309,Reliever,16
605359,Reliever,14
605388,Starter,5
605396,Reliever,2
605400,Starter,26
605452,Starter,12
605483,Starter,4
605538,Starter,24
605541,Starter,20
606131,Reliever,37
606160,Reliever,7
606273,Reliever,5
606965,Starter,24
607067,Starter,37
607074,Starter,21
607231,Reliever,11
607259,Reliever,5
607309,Reliever,18
607352,Reliever,14
607374,Starter,17
607457,Reliever,19
608032,Reliever,14
608379,Starter,25
608648,Starter,6
608665,Starter,18
608678,Reliever,8
611093,Reliever,7
612434,Reliever,16
612672,Starter,25
621199,Reliever,34
621209,Starter,15
621244,Starter,4
621281,Reliever,14
621295,Reliever,4
621385,Reliever,6
621397,Reliever,4
621408,Reliever,4
622072,Starter,16
622663,Starter,13
623184,Reliever,10
623430,Reliever,33
628317,Starter,26
628452,Starter,16
640455,Starter,3
641490,Reliever,6
643297,Reliever,8
643325,Reliever,3
648737,Reliever,36
657205,Reliever,1
657670,Reliever,28
