rf,birth_year,age
-0.005255501696326448,1986.0,31.0
-0.014283945157010147,1989.0,28.0
-0.032585434729852,1990.0,27.0
0.0001831501831501825,1990.0,27.0
-0.048568532986894265,1989.0,28.0
0.001945385292986468,1986.0,31.0
-0.0205386959034047,1988.0,29.0
-0.01013347081400012,1986.0,31.0
-0.00649361702127661,1988.0,29.0
0.00754457929351141,1984.0,33.0
-0.060754736677279625,1988.0,29.0
0.0410791993037424,1989.0,28.0
0.0410791993037424,1926.0,91.0
-0.09344362651321528,1985.0,32.0
-0.029919977939577787,1988.0,29.0
0.042912728787523766,1988.0,29.0
0.014851013708242513,1985.0,32.0
-0.06258421998491025,1989.0,28.0
-0.006954708793816522,1987.0,30.0
-0.06882168925964544,1986.0,31.0
-0.10159970473478856,1989.0,28.0
